superconductors,measured_Tc,materials_family
Cd0.7Mg0.3,0.105,others
Ir0.89Ru0.11,0.105,others
Ag0.625Al0.375,0.106,others
Ir0.987Mo0.013,0.107,others
Ir0.987W0.013,0.107,others
Se2Ta1,0.1075,others
Ag0.7Al0.3,0.11,others
Rh0.32Ru0.68,0.11,others
Ir0.845Ru0.155,0.11,others
Ir0.99V0.01,0.11,others
Mo0.5V0.5,0.11,others
Ir0.925Ru0.075,0.11,others
Sc0.05Zr0.95,0.11,others
Ir0.95Re0.02,0.112,others
Ir0.98V0.02,0.115,others
Ir0.98Nb0.02,0.115,others
Ir0.99Ta0.01,0.116,others
Ag0.828Ga0.172,0.116,others
Cu0.84Ge0.16,0.117,others
Ir0.71Mo0.29,0.12,others
Sn0.976Te1,0.125,others
Ir0.973W0.027,0.125,others
Ir0.925Ta0.075,0.125,others
Ag0.667Al0.333,0.126,others
Ir0.97Ta0.03,0.127,others
Cu0.82Ge0.18,0.13,others
Ce1In3,0.13,heavy-Fermion
Ir0.8Ru0.2,0.13,others
Ir0.75Mo0.25,0.13,others
Ir0.46Re0.115Rh0.425,0.13,others
La3Sb3Y1,0.13,heavy-Fermion
Au0.92Ga0.06In0.02,0.13,others
Ir0.973Mo0.027,0.133,others
C8Cs1,0.135,others
Au0.92Ga0.068In0.012,0.137,others
Ir0.965Nb0.035,0.138,others
Cd0.9Mg0.1,0.138,others
Ir0.1Rh0.1Os0.8,0.14,others
Ce1Pt1Si2,0.14,heavy-Fermion
Ir1U1,0.14,heavy-Fermion
Cu1Rh1.5Sn0.5Se4,0.14,others
Tl1Bi1Te2,0.141,others
Ir0.765Ru0.235,0.142,others
Ir0.96Re0.04,0.142,others
Ta1Se2,0.1425,others
Sn0.97Te1,0.143667,others
Cu0.825Ge0.175,0.145,others
Cd0.86Mg0.14,0.145,others
Ir0.965V0.035,0.147,others
Ag7B4F4O8,0.15,others
Ce0.985La0.015Pt3Si1,0.15,heavy-Fermion
Ir0.94Ta0.06,0.15,others
Ag7F4O8B1,0.15,others
Ag7B1F4O8,0.15,others
C8.1K1,0.152,others
U1Co1Ge0.9Si0.1,0.153,heavy-Fermion
Cr0.25Mo0.75,0.155,others
Bi3La4,0.155,heavy-Fermion
Bi1.5La4Sb1.5,0.158,heavy-Fermion
Al0.02Au0.92Ga0.06,0.158,others
Ir0.825Ru0.1Os0.075,0.16,others
Hg1Mg3,0.16,others
Cd0.75Mg0.25,0.16,others
U1Ni1.95Al3.05,0.16,heavy-Fermion
Ir0.725Os0.175Rh0.1,0.16,others
Ir0.953W0.047,0.162,others
Sn0.975Te1,0.165,others
Fe0.018Ru0.982,0.165,others
Sn0.966Te1,0.167,others
Ce1Cu2Si1.8Ge0.2,0.1675,heavy-Fermion
Au0.92Ga0.08,0.168,others
Ir0.953Mo0.047,0.168,others
Sn0.965Te1,0.168,others
Fe1Zr2,0.17,others
Ge0.963Te1,0.171,others
Ir0.925Nb0.075,0.172,others
Si2Ta1,0.1725,others
S1N1,0.175,others
Cu0.815Ge0.185,0.175,others
Al2Zr1,0.175,others
Co1Lu3,0.175,heavy-Fermion
Ge1Te1,0.178,others
Ir0.32Ru0.68,0.18,others
Ir0.43Ru0.57,0.18,others
Rh0.2Ru0.8,0.18,others
Rh0.6Ru0.4Se2,0.18,others
Ir0.71Ru0.29,0.18,others
Cu0.845Sb0.155,0.184,others
Cd0.8Mg0.2,0.185,others
Au1Lu1,0.185,heavy-Fermion
Pr1Ti2Al20,0.19,heavy-Fermion
Rh1V3,0.19,others
Ce1Ir1In4.875Cd0.125,0.194,heavy-Fermion
Ca24Al28O66,0.195,others
La1Fe0.985Zn0.015As1F0.08O0.9,0.2,iron-based
La1Ru2Zn20,0.2,heavy-Fermion
Co0.034Ru0.964,0.2,others
Fe0.6Ni0.4Zr2,0.2,others
Ni0.08Ru0.92,0.2,others
Sm1Fe1As1H0.03O0.97,0.2,iron-based
Ce1Cu2Si1.88Ge0.12,0.2,heavy-Fermion
Cu6Th1,0.2,heavy-Fermion
Ce1Cu2Si1.9Ge0.1,0.2,heavy-Fermion
As2Mo1,0.205,others
Ga1Hf2,0.21,others
Pt0.113Ru0.887,0.21,others
Pd4Se1,0.21,others
Ir0.22Ru0.78,0.21,others
Re0.2Ta0.8,0.21,others
Ir0.1Os0.3Rh0.6,0.21,others
Au0.885Sn0.115,0.21,others
Al0.5Ge0.5Th2,0.21,others
Th1In2.25Sn0.75,0.21,heavy-Fermion
Hf1Mo2,0.210167,others
Pt0.73W0.27,0.213,others
O3Sr1Ti1,0.213333,others
Ce1Ni2Ge2,0.216667,heavy-Fermion
C8K1H0.19,0.22,others
Ce1Rh0.65Ir0.35In5,0.22,heavy-Fermion
Ce2Ni3Ge5,0.22,heavy-Fermion
Au1In2,0.22,others
Co0.038Mo99.962,0.22,others
Ir0.135Rh0.135Os0.73,0.22,others
Ir0.6Os0.2Rh0.2,0.22,others
Ir0.93Re0.07,0.22,others
La1Pt2,0.23,heavy-Fermion
As2Pd5,0.23,others
U1Ru1.99Re0.01Si2,0.23,heavy-Fermion
Ir0.9W0.1,0.23,others
Pb3Yb1,0.23,heavy-Fermion
Cu1Y1,0.235,others
Cd0.96Mg0.04,0.24,others
Ba6Ge25,0.24,others
U1Pt2.988Pd0.012,0.24,heavy-Fermion
Cu0.81Ge0.19,0.24,others
Ir2La1,0.24,heavy-Fermion
In3Lu1,0.24,heavy-Fermion
U1Rh1Ge1,0.244,heavy-Fermion
Ge0.95Te1,0.246,others
Ir0.7Os0.3,0.24835,others
Ir0.66Mo0.34,0.25,others
La4Sb3,0.25,heavy-Fermion
B1Mo1,0.25,others
B1Ta1.5W0.5,0.25,others
Ir0.56Re0.14Rh0.3,0.25,others
Co0.027Ru0.973,0.25,others
Pt3V1,0.254,others
Cr3Ir1,0.256,others
Ir0.85V0.15,0.26,others
N1S1,0.26,others
Al0.998Mn0.002,0.262,others
Au0.9Ga0.1,0.264,others
Ce1Cu2Si1.92Ge0.08,0.27,heavy-Fermion
Ta1Se0.7Te1.3,0.27,others
Ir0.49Os0.21Rh0.3,0.27,others
Ce1Ru0.3Co1.7,0.27,heavy-Fermion
Co0.022Ru0.978,0.27,others
Rh0.105Ru0.895,0.27,others
N0.3S0.7,0.275,others
Mg7Zn3,0.28,others
Au0.8In0.2,0.28,others
Ir0.14Ru0.86,0.28,others
Ir0.56Os0.24Rh0.2,0.28,others
Pr0.25La0.75Ir2Zn20,0.28,heavy-Fermion
U1Co1Ge0.92Si0.08,0.288,heavy-Fermion
