superconductors,measured_Tc,materials_family
U0.85Mo0.15,2.105,others
La98Lu1Tb1,2.108,others
Ag2In1,2.11,others
Cu19.8Zr79.2Mn1,2.11,others
Er1Rh1.6Ir2.4B4,2.11,heavy-Fermion
Hf0.93Mo0.07,2.11,others
Ba1Cu0.4Si1.6,2.11,others
Ni0.03V0.97,2.11,others
Pd1Te1.06,2.11,others
Mo0.2U0.8,2.113,others
Mo0.18U0.82,2.115333,others
Y3Ru4Ge13,2.116667,others
Ho1.1Ir4B3.6,2.12,heavy-Fermion
La0.6Th0.4Bi1S2O1,2.12,others
Ru0.42V0.58,2.12,others
Li2Pt3B0.95Al0.05,2.12,others
Ge2Rh5,2.12,others
Ge3Rh5,2.12,others
Ge2Rh3,2.12,others
Mo3.29Zr96.71,2.12,others
Mo0.16U0.84,2.121,others
Ir1Zr3,2.13,others
Hf0.915Mo0.085,2.13,others
Sr0.58La0.42Bi1S2F1,2.13,others
Fe0.2Ni0.8Zr2,2.13,others
Fe0.33Ni0.67Zr2,2.13,others
Ce1Co0.7Ru0.3In5,2.13,heavy-Fermion
Ir5La1,2.13,heavy-Fermion
Cu1Co1.95Ir0.05S4,2.13,others
Ce1Co1In4.75Cd0.25,2.13,heavy-Fermion
Ce0.987Yb0.013Co1In5,2.13,heavy-Fermion
Ta1V2,2.133333,others
B1W2,2.133333,others
La0.3Ce0.7Ru2,2.134,heavy-Fermion
Y2Pt1Ge3,2.14,others
Mg1C1Ni2.6Ru0.4,2.14,others
Ce1Co1In4.98Cd0.02,2.14,heavy-Fermion
Ce1Co1In4.875Zn0.125,2.14,heavy-Fermion
Te3Tl5,2.144,others
Sc1Pd2Sn1,2.145,others
Pd0.02Ir1Te2,2.15,others
Rh3Th7,2.15,heavy-Fermion
Ba1Fe1.856Cu0.088As2,2.15,iron-based
Be2Nb1,2.15,others
Cr0.4Re0.6,2.15,others
Eu0.012La0.988,2.15,others
Sn0.85Ag0.15Te1,2.15,others
Ce1Co1In4.9835Cd0.0165,2.15,heavy-Fermion
Nd1.85Ce0.15Cu0.994Co0.006O4,2.15,cuprate
Th1Rh0.1Si1.9,2.15,heavy-Fermion
Er1Ni1.9Fe0.1B2C1,2.155,heavy-Fermion
Ge0.23Mo0.77,2.16,others
Sn0.552Pb0.368In0.08Te1,2.16,others
Eu0.011La0.989,2.16,others
Na0.23W1O3,2.16,others
Ir0.7Y0.3,2.16,others
Ge1.85La1,2.17,heavy-Fermion
Ge1.9La1,2.17,heavy-Fermion
Ge1.83La1,2.17,heavy-Fermion
Ge1.81La1,2.17,heavy-Fermion
Ge1Mo3,2.1792,others
Ce1Co1In4.989Cd0.011,2.18,heavy-Fermion
Ce1Co0.8Ru0.2In5,2.18,heavy-Fermion
Rh43Zr57,2.18,others
La1Bi1S1.8Se0.2F0.5O0.5,2.19,others
Zr1Pd2In1,2.19,others
Cu0.5Zn0.5Ir2S4,2.195,others
Ba1Ti2Sb1.8Sn0.2O1,2.2,others
Os0.15W0.85,2.2,others
Re24Sc5,2.2,others
Pd1.25Te2,2.2,others
Re0.6V0.4,2.2,others
Pd2Se1,2.2,others
Pd0.67Se0.33,2.2,others
Y1Pd2Al3,2.2,others
Sn0.75Ag0.25Te1,2.2,others
Li0.3O3W1,2.2,others
Ho1Rh1.6Ir2.4B4,2.2,heavy-Fermion
Y2Pd1Si2C1,2.2,others
Ba1Ti2Sb1.7Sn0.3O1,2.2,others
Yb0.2W1Se2,2.2,others
La3Rh4Pb13,2.2,heavy-Fermion
Co0.92Mn0.08U6,2.2,heavy-Fermion
Y0.92Gd0.08Ru2,2.2,others
Y4Ir6Sn19,2.2,others
Cu1S1.8Se0.2,2.2,others
La3Ni4P4O2,2.2,others
Hf1V2H1.6,2.2,others
Na0.33Co1H2.6O3.3,2.2,others
Nb0.83Pd0.17,2.2,others
La0.84Pr0.16,2.2,others
Au0.41Ge0.59,2.2,others
Ge2Hf1,2.2,others
Lu1Mo6S8,2.2,others
Bi1Re2,2.2,others
Cu1.75Co1.25S4,2.2,others
La0.55Lu0.45,2.2,others
In1Te1,2.206,others
Ce1Co1In4.996Sn0.004,2.21,heavy-Fermion
Pd1.5Te2,2.21,others
Th1Ir2Si2,2.215,heavy-Fermion
Sn0.84In0.16Te1,2.2175,others
Al2La1,2.218429,heavy-Fermion
Au1V3,2.2192,others
Er1Ir4B4,2.22,heavy-Fermion
Y1Os1B2,2.22,others
La0.7Ti0.3Bi1S2O1,2.22,others
Tm5Rh6Sn18,2.22,heavy-Fermion
Cu1Se2,2.22375,others
Ga9Ir2,2.225,others
Ag1Th2,2.225,heavy-Fermion
Ce1Co1In4.9945Cd0.0055,2.226,heavy-Fermion
Re0.83Ru0.17,2.23,others
Ru2Y1,2.23,others
Sn0.714Ge0.126In0.16Te1,2.23,others
Nb2Pd1S3.75Se1.25,2.23,others
Cu0.055Ti1Se2,2.24,others
Pd32Zr68,2.24,others
Y2Pd1Ge2Si1,2.24,others
La1Rh1Si3,2.245,heavy-Fermion
Ho0.9La0.1Ni2B2C1,2.25,heavy-Fermion
Sn0.776Pb0.194In0.03Te1,2.25,others
Ce1Co0.9Ru0.1In5,2.25,heavy-Fermion
Ir0.34Nb0.66,2.25,others
Ce1Bi1S2F0.33O0.67,2.25,others
Pd1.75Te2,2.25,others
Bi1Na1,2.25,others
Bi0.57Sn0.43,2.25,others
Ga3Lu1,2.25,heavy-Fermion
La6Ni2Sn1,2.25,heavy-Fermion
Co0.5Rh0.5Si2,2.25,others
Th1Ir0.1Os1.9,2.25,heavy-Fermion
Bi2Y3,2.25,others
Ce1Co1In4.9976Hg0.0024,2.252,heavy-Fermion
Ce1Co1In4.9992Hg0.0008,2.254,heavy-Fermion
Y2Pd0.3Pt0.7Ge3,2.26,others
Cu60Sn40,2.26,others
Nb0.85Pd0.15,2.26,others
Ba1Pt2As2,2.2625,others
Rb0.33W1O3,2.27,others
Y2Pd1Si2.25C0.75,2.27,others
Th7Fe0.72Co2.28,2.27,heavy-Fermion
La0.96Gd0.04Ru2,2.27,heavy-Fermion
Hf1Os2,2.27,others
Au1.8Pd0.2In1Y1,2.27,others
Nb3Rh0.98Co0.02,2.28,others
Ir3La7,2.28,heavy-Fermion
Ba8Si23Ge23,2.28,others
Co0.02Nb3Rh0.98,2.28,others
Mo0.15V0.85,2.28,others
Rh0.88Ru0.12Se2,2.28,others
Sn0.6646Pb0.2854In0.05Te1,2.28,others
Pd1Te1.04,2.28,others
La1Pt0.5Ni0.5Si1,2.285,heavy-Fermion
Cr0.33Re0.67,2.29,others
La0.93Nd0.07Pt1Si1,2.29,heavy-Fermion
As2Cd1Sn1,2.29,others
La0.9Y0.1Ni1C2,2.29,others
Ce1Bi1S2F0.45O0.55,2.295,others
Ir0.265O0.085Zr0.65,2.3,others
Lu3Rh4Ge13,2.3,heavy-Fermion
La1Ir1Si1,2.3,heavy-Fermion
Pd5Se2,2.3,others
Pd2.8Se1,2.3,others
Y2Cl2C2,2.3,others
N0.75V1,2.3,others
Nb2Se3,2.3,others
Ta1Ge2,2.3,others
Tm4Rh6Sn19,2.3,heavy-Fermion
Ca1Cu0.33Si1.67,2.3,others
Pr1Th3.4Ru0.6B4,2.3,heavy-Fermion
Pd2Y1Pb1,2.3,others
Lu3Ru4Ge13,2.3,heavy-Fermion
Re0.05Rh0.04Ti0.91,2.3,others
Rh0.04Ta0.05Ti0.91,2.3,others
Sr1Si1.9Ni0.1,2.3,others
Ta2Zr1,2.3,others
Ni2Zr0.7Nb0.3Ga1,2.3,others
Nb3Rh0.9Os0.1,2.3,others
Cd0.17Tl0.83,2.3,others
Au1Pd1In1Y1,2.3,others
Be5Pt1,2.3,others
Ca1Pt1Si3,2.3,others
C3Na1,2.3,others
Dy0.85Tm0.15Ni2B2C1,2.3,heavy-Fermion
C1Ta0.2Zr0.8,2.3,others
Bi2La4Pb1,2.3,heavy-Fermion
Ir0.1Nb0.9,2.3,others
Ir0.265O0.035Ti0.65,2.3,others
Be2Nb3,2.3,others
La1.8Sr0.2Cu0.96Zn0.04O4,2.3,cuprate
Sr1Fe1.78Ni0.22As2,2.305,iron-based
Te3Zr1,2.308333,others
Fe0.15Ni0.85Zr2,2.31,others
Ba1Ti2Sb1.6Sn0.4O1,2.31,others
Ni40Zr60,2.31,others
Nb0.62Pt0.38,2.31,others
Li2B1Pd0.9Pt2.1,2.31,others
Ir0.37Nb0.63,2.316667,others
Ag0.94Tl0.06,2.32,others
Ba1Hg1,2.32,others
Sn0.756Ge0.084In0.16Te1,2.32,others
La7Ir3,2.33,heavy-Fermion
Mn0.025Ti0.975,2.33,others
Ce0.2Nd0.8Bi1S2F0.3O0.7,2.33,others
Pr1Fe1P1F0.1O0.9,2.34,iron-based
Pd31Zr69,2.34,others
Hf0.96Rh0.04,2.34,others
Y0.6Tb0.4Ni2B2C1,2.346667,others
Ba1Fe1.936Co0.044Cu0.02As2,2.35,iron-based
Ag1In2,2.35,others
Ce0.2Nd0.8F0.3Bi1S2O0.7,2.35,others
Ge3Y1,2.35,others
La0.8Ti0.2Bi1S2O1,2.35,others
Rh0.4Ta0.6,2.35,others
La5Ru2,2.35,heavy-Fermion
Rh2Ta3,2.35,others
As1Nb3,2.353333,others
Co1U6,2.358,heavy-Fermion
Sn0.798Ge0.042In0.16Te1,2.36,others
Pd1Zr2,2.36,others
La0.8Hf0.2Bi1S2O1,2.36,others
Bi1.1Nb1Se3.1,2.36,others
Al0.08V0.92,2.36,others
Th1Ir1.3Os0.7,2.36,heavy-Fermion
La1Rh1Bi1,2.36,heavy-Fermion
Ti0.595V0.255Al0.15,2.36,others
Au0.2Sn0.8,2.38,others
Nb3Rh0.95Ir0.05,2.38,others
Ir0.05Nb3Rh0.95,2.38,others
Hf0.909W0.091,2.38,others
Pr1Ru4As12,2.3825,heavy-Fermion
Ir0.92Pt0.08Te2,2.385,others
Pd2Yb1Sn1,2.39,heavy-Fermion
La0.998Gd0.002Al2,2.39,heavy-Fermion
Nb3Rh0.95Os0.05,2.39,others
Ir0.85Rh0.15Te2,2.39,others
Cu0.06Ti1Se2,2.396667,others
La2.406Pr0.594Tl1,2.4,heavy-Fermion
Rh0.02Zr0.98,2.4,others
La13Ga8Sb21,2.4,heavy-Fermion
La0.996Tb0.004Al2,2.4,heavy-Fermion
Mo6Te5I3,2.4,others
Sm1.2Mo6S8,2.4,others
Ge1.62Y1,2.4,others
Ni2Zr0.85Nb0.15Ga1,2.4,others
Pd2Hf1In1,2.4,others
Pd2Sc1Pb1,2.4,others
Lu1Ni1B1C0.85,2.4,heavy-Fermion
Yb1Ga1.1Si0.9,2.4,heavy-Fermion
Yb0.2Mo1S2,2.4,others
Y1Ir1.5Os0.5,2.4,others
Zr55Co30Al15,2.4,others
Cd1Mo6Se8,2.4,others
Pd2Lu1Pb1,2.4,heavy-Fermion
Ho1Ni1.972Co0.056B2C1,2.4,heavy-Fermion
O0.03V0.97,2.4,others
Ba1Ga1Ge1,2.4,others
Y0.7Ca0.3C2,2.4,others
Bi1.5La4Pb1.5,2.4,heavy-Fermion
Lu1Ni1B1.1C0.9,2.4,heavy-Fermion
Bi6S5O8,2.4,others
La1Rh1Al1,2.4,heavy-Fermion
Lu1Ru2Si2,2.4,heavy-Fermion
Nb0.05Rh0.04Ti0.91,2.4,others
Re0.15W0.85,2.4,others
Mn0.05Rh0.04Ti0.91,2.4,others
Ir1.5O0.5Y1,2.4,others
Ce1Ru1.95Co0.05,2.4,heavy-Fermion
Pd2Y0.95Gd0.05Sn1,2.41,others
Cu0.55Zn0.45Ir2S4,2.41,others
Si1Th1,2.41,heavy-Fermion
Cu0.1Ir1Te2,2.41,others
La3Co3.5Ru0.5Sn13,2.41,heavy-Fermion
In0.005Tl0.995,2.418,others
Nb3Rh0.95Ru0.05,2.42,others
Nb3Os0.02Rh0.98,2.42,others
Y2Pd0.5Pt0.5Ge3,2.42,others
Nb3Rh0.98Os0.02,2.42,others
Nb3Rh0.98Ru0.02,2.42,others
Sr1Pt1As1,2.425,others
La3Co4Sn13,2.425,heavy-Fermion
Nb3Rh0.98Ir0.02,2.43,others
Nb0.4Re0.6,2.43,others
Ir0.02Nb3Rh0.98,2.43,others
Nb6Sn5,2.435,others
Tm0.84Lu0.16Fe3Si5,2.44,heavy-Fermion
Rh41Zr59,2.44,others
Ni36.5Zr63.5,2.44,others
Ni31Zr69,2.44,others
Nb3Rh0.9Ru0.1,2.44,others
Nb0.38Re0.62,2.44,others
La0.85Ce0.15Ru2,2.444,heavy-Fermion
Al2Gd0.002La0.998,2.45,heavy-Fermion
Ba1Ni2Ge0.6P1.4,2.45,others
Cu0.95Se2Zn0.05,2.45,others
K1Tl1.5C8,2.45,others
Mn1U6,2.4525,heavy-Fermion
Ir2.5Sc1,2.46,others
Ca1Al0.74Si1.26,2.46,others
Y2Pd0.6Pt0.4Ge3,2.46,others
Pb1Nb1S3,2.46,others
Bi1Li1,2.4625,others
Rh0.02Ti0.98,2.465,others
Ir2Lu1,2.47,heavy-Fermion
Pb1Se1Eu1S1,2.48,others
Co35Zr65,2.48,others
Sr0.062Bi2Se3,2.48,others
In0.45Tl0.55,2.48,others
Lu0.1Dy0.9Ni2B2C1,2.485,heavy-Fermion
Ba1Ti2Sb1.4Sn0.6O1,2.49,others
Nb3Rh0.95Pd0.05,2.49,others
Pd29Zr71,2.49,others
Sn0.3361Pb0.5039In0.16Te1,2.49,others
Nb3Pd0.02Rh0.98,2.49,others
La3Pd4Ge4,2.493333,heavy-Fermion
Nb0.4Ru0.6,2.5,others
Cd1.3Mo6Se7.5,2.5,others
La1Rh1P1,2.5,heavy-Fermion
B5Nb1.8V0.2,2.5,others
Er0.72Gd0.28Rh4B4,2.5,heavy-Fermion
Li1.2Rh1B1.5,2.5,others
La1Bi1S1.6Se0.4F0.5O0.5,2.5,others
Li1Rh1B1.5,2.5,others
Cu0.05Rh0.04Ti0.91,2.5,others
Mg1Pt1Si1,2.5,others
Nb3Rh0.98Pd0.02,2.5,others
Mg0.7Zn0.3C1Ni3,2.5,others
Ru0.05Ti0.95,2.5,others
Ni0.02Ta1Se2,2.5,others
Mg0.9Mo5.1S6,2.5,others
Na2K1C60,2.5,others
Mg0.7Zn0.3C0.99Ni3,2.5,others
Y4Os6Sn19,2.5,others
La1.85Sr0.15Cu0.973Co0.027O4,2.5,cuprate
Lu1Ni1B0.95C0.95,2.5,heavy-Fermion
Yb3Co4Sn13,2.5,heavy-Fermion
Cr0.8Os0.2,2.5,others
Sm1Fe1P1O1,2.5,iron-based
Nb0.9Pt0.1,2.5,others
Hf0.9Mo0.1,2.5,others
Ir0.95Pd0.05Te2,2.5,others
La0.75Y0.25,2.5,others
In1Sb1Sn1,2.5,others
La0.95Y0.05F0.5Bi1S2O0.5,2.5,others
Bi1La4Pb2,2.5,heavy-Fermion
Ba1Nb2Se5,2.5,others
Ga6Tb1,2.5,heavy-Fermion
La0.75Y00.25,2.5,others
Lu2Ir2.4Rh0.6Si5,2.5,heavy-Fermion
Hf0.661W0.339,2.51,others
La1Ru2.9175Fe0.0825Si2,2.51,heavy-Fermion
Bi1Nb3,2.516667,others
Au0.07Zr0.93,2.52,others
In0.4Tl0.6,2.52,others
Nb3Pt0.02Rh0.98,2.52,others
Nb3Rh0.95Au0.05,2.52,others
Nb3Rh0.98Pt0.02,2.52,others
Sr1Pd1.8Ag0.2Ge2,2.52,others
Y2Pd0.7Pt0.3Ge3,2.52,others
Pd0.985Ni0.015H0.84,2.52,others
Nb1Os2,2.52,others
Be22Mo1,2.5275,others
Au0.02Nb3Rh0.98,2.53,others
Ba1Cu0.5Si1.5,2.53,others
Th1Ir0.8Ru1.2,2.53,heavy-Fermion
Pd0.3Zr0.7,2.53,others
Mo3.95Zr96.05,2.53,others
Nb3Rh0.98Au0.02,2.53,others
Th1Ir1Ru1,2.53,heavy-Fermion
La0.99Tb0.01,2.53,others
Nb3Rh0.95Pt0.05,2.53,others
Cu0.03Ir1Te2,2.53,others
La1Pb0.75Sn2.25,2.54,heavy-Fermion
Cd0.18Tl0.82,2.54,others
Ta0.5V0.5,2.54,others
La3Ir4Sn13,2.55,heavy-Fermion
Pr1Mo6S8,2.55,others
Nb3Rh0.9Pd0.1,2.55,others
Co0.5Mn0.5U6,2.55,others
Mn0.14Ti0.86,2.55,others
Lu5Ir4Ge10,2.55,heavy-Fermion
Pd1Te1.02,2.56,others
Ce0.8Tb0.2Ru2,2.56,heavy-Fermion
La0.94Nd0.06Pt1Si1,2.56,heavy-Fermion
Sm1Fe0.95Co0.05As1O1,2.565,iron-based
Sn0.768Pb0.192In0.04Te1,2.57,others
La1Rh3B2,2.57,heavy-Fermion
Mo0.3Nb0.7,2.575,others
Sr1Pd1.94Co0.06Ge2,2.58,others
Ce0.02La0.98,2.58,others
B0.3Ru0.7,2.58,others
Ni30Zr70,2.58,others
Th0.1Zr0.9,2.58,others
La0.9Pr0.1Pb3,2.58,heavy-Fermion
Sr1Ga0.65Si1.35,2.58,others
Re1,2.581333,others
La98Lu1.15Tb0.85,2.582,others
Ba1Ti2Sb1.4Bi0.6O1,2.59,others
La7Rh3,2.59,heavy-Fermion
Er0.6Y0.4Pd2Sn1,2.59,heavy-Fermion
Ba1Ni2Ge0.2P1.8,2.59,others
Bi3.95Cu0.05S3O4,2.595,others
Sr1Si1.8Ni0.2,2.6,others
Al2Th3,2.6,heavy-Fermion
Er1Ni1.955Co0.09B2C1,2.6,heavy-Fermion
Th3Ir4Sn13,2.6,heavy-Fermion
Ge2Lu1,2.6,heavy-Fermion
La1Ni2P2,2.6,heavy-Fermion
Cu1Co2S4,2.6,others
Y1Ir1Os1,2.6,others
Lu1Ni1.8Co0.4B2C1,2.6,heavy-Fermion
Mo0.94Fe0.06Ga4,2.6,others
Ir1Os1Y1,2.6,others
Li2Mo15Se19,2.6,others
Lu1Ni0.8V0.2B1C1,2.6,heavy-Fermion
Na1.5Ba6Si46,2.6,others
Lu1Ni1B0.8C1,2.6,heavy-Fermion
Ni33Zr67,2.6,others
Tm4Os4Si13,2.6,heavy-Fermion
Sr1Pd1.86Pt0.14Ge2,2.6,others
Yb1Ga1.15Si0.85,2.6,heavy-Fermion
Au0.3Pd0.033Te0.666,2.6,others
Mo0.25Ru0.75,2.6,others
Y3Pt4Ge6,2.6,others
Pd27Zr73,2.6,others
Zr1Ru0.8Fe0.2P1,2.6,others
Ag1Te3,2.6,others
Be35Zr65,2.6,others
Sr0.065Bi2Se3,2.6,others
Hf0.87Mo0.13,2.6,others
La1Rh3,2.6,heavy-Fermion
Ba1Pt0.3Si1.7,2.6,others
Lu1Ni1B0.9C1,2.6,heavy-Fermion
Au30Pd3.3Te66.6,2.6,others
In1.15Te1,2.6,others
Rh0.06Ti0.94,2.6,others
Cu0.6Zn0.4Ir2S4,2.605,others
Co0.02V0.98,2.61,others
Tm4Y1Rh6Sn18,2.61,heavy-Fermion
Ir0.9Rh0.1Te2,2.61,others
Co0.03Zr0.97,2.61,others
Cu1Co1.99Rh0.01S4,2.61,others
Cr0.1V0.9,2.6125,others
Sn0.7127Pb0.2373In0.05Te1,2.62,others
Y2Pd0.8Pt0.2Ge3,2.62,others
Sr1Pd1.9Ag0.1Ge2,2.62,others
La1Pd1Si3,2.625,heavy-Fermion
K1Tl1.5C4,2.63,others
La1Pt0.6Ni0.4Si1,2.63,heavy-Fermion
Sb0.03V0.97,2.63,others
Au1.6Pd0.4In1Y1,2.64,others
Nb1Sn2,2.64,others
Sr1Pd1.98Ag0.02Ge2,2.64,others
Sb0.02Sn0.98,2.64,others
Sm1Rh4B4,2.6475,heavy-Fermion
La3Ru4Sn13,2.65,heavy-Fermion
Na0.34Co1H2.6O3.3,2.65,others
Ta0.75V0.25,2.65,others
Bi1.09Ta2S5.09,2.65,others
Nb1Ru1Si1,2.65,others
Pd2Yb1Pb1,2.65,heavy-Fermion
Fe0.1Ni0.9Zr2,2.65,others
Au2Pb1,2.6575,others
Am0.01Si2Th1,2.66,heavy-Fermion
Pb2Rh1,2.66,others
Nb1Pb1S3,2.66,others
Lu1Os1B2,2.66,heavy-Fermion
Pb0.2375Sn0.7125In0.05Te1,2.66,others
Y1Mo6S7,2.66,others
Pd34Se11,2.66,others
Sc1Mo6S7,2.67,others
Ag1Tl1,2.67,others
Ag0.03Tl0.97,2.67,others
Lu1Ir3.6Rh0.4B4,2.67,heavy-Fermion
Co35.38Zr64.62,2.67,others
Ni0.05Ta1S2,2.6775,others
Zn0.025In2O3,2.68,others
Au1.3Pd0.7In1Y1,2.68,others
In3Ru1,2.68,others
Y2Pd0.9Pt0.1Ge3,2.68,others
Ce1F0.7Bi1S2O0.7,2.68,others
Pd0.03Ir1Te2,2.68,others
Pr1Pt4Ge11Sb1,2.68,heavy-Fermion
Ir0.95Pt0.05Te2,2.683333,others
Ba1Ni2P2,2.686667,others
Ir0.94Pt0.06Te2,2.69,others
La2.58Pr0.42S4,2.69,others
Re30Zr70,2.69,others
Bi2.14F0.27S2O0.73,2.7,others
Si3W5,2.7,others
Pb0.06Tl0.94,2.7,others
Bi0.8Rh0.2,2.7,others
Ti0.96V0.04,2.7,others
Ga0.1Nb1Se2,2.7,others
Cs1Pb1Bi3Te6,2.7,others
Ce1Te1.82,2.7,others
Ce1Bi3Pb1Te6,2.7,others
Mn0.67Ni0.33U6,2.7,heavy-Fermion
Y1Ir1Si1,2.7,others
Cu1Rh1.95Se4Sn0.05,2.7,others
Bi1.08S5.08Ta2,2.7,others
Bi1.08Ta2S5.08,2.7,others
Cu1Co1.8Cr0.2S4,2.7,others
La1Pd1Sb2,2.7,heavy-Fermion
Th0.3Zr0.7,2.7,others
Nb0.75Rh1.25,2.7,others
Nb0.375Rh0.625,2.7,others
Nb3Rh0.9Au0.1,2.7,others
Ti0.36V0.54Al0.1,2.7,others
Pd0.03Ir0.97Te2,2.7,others
Sr1Pd2Si0.1Ge1.9,2.7,others
La0.8Y0.2,2.7,others
In0.95Te1,2.7,others
Tc0.25Ti0.75,2.7,others
Re1Ge2,2.7,others
Y2Rh3Si5,2.7,others
Li0.62Rb1Ca2Nb3O10,2.705,others
Cu0.07Ir1Te2,2.71,others
La2.9451Gd0.0549In1,2.71,heavy-Fermion
Cu0.1Ta1S2,2.71,others
Hf0.906Mo0.094,2.71,others
La1Ni1As1O1,2.71,others
Bi2Ir1,2.715,others
Pb1.14Nb1S3.14,2.72,others
Sr1Pd2Si0.04Ge1.96,2.72,others
Mg1Mo6S7,2.72,others
Li2Pt3B1,2.728,others
Nb0.9Mo2.1Al1,2.73,others
La0.97Gd0.03Ru2,2.73,heavy-Fermion
Al0.964Ge0.036,2.74,others
Lu4.5Er0.5Ir4Si10,2.74,heavy-Fermion
Nb3Rh1,2.742333,others
Mo2Zr1,2.743,others
Ni2As2Sr4Sc2O6,2.75,others
Sn1.17Nb1S3.17,2.75,others
Ta1S1.8Se0.2,2.75,others
Th1Ir0.1Si1.9,2.75,heavy-Fermion
B2Zr1,2.75,others
Mo4P3,2.75,others
Fe1Se0.5S0.5,2.75,others
Y1.9Dy0.1Fe3Si5,2.75,others
Mg0.47Tl0.53,2.75,others
Sn1Nb1S3,2.75,others
Sr0.5Ce0.5F1Bi1S2,2.755,others
Sr1Pd2Si0.02Ge1.98,2.76,others
La0.95Nd0.05Pt1Si1,2.76,heavy-Fermion
In0.62Tl0.38,2.76,others
Nb2Pd1S4Se1,2.76,others
P1W3,2.76,others
Pb0.19Sn0.76In0.05Te1,2.76,others
Y5Ir4Ge10,2.76,others
Hf0.78W0.22,2.77,others
Sn0.7598Pb0.1902In0.05Te1,2.77,others
Pd2Y0.6Er0.4Sn1,2.77,others
Re0.05Ta0.95,2.77,others
La1Pt0.7Ni0.3Si1,2.775,heavy-Fermion
Pb1.16Ti2Se5.16,2.775,others
La0.999Gd0.001Al2,2.78,heavy-Fermion
Au0.1Zr0.9,2.78,others
Au0.12Zr0.88,2.78,others
Ta0.91W0.09,2.78,others
Zr54.6Ti23.4Ni22,2.78,others
Sr0.67Pt3B2,2.78,others
Ni29Zr71,2.78,others
Lu1Ni1B1C1,2.786667,heavy-Fermion
Tm0.8Lu0.2Fe3Si5,2.79,heavy-Fermion
Lu5Rh4Ge10,2.79,heavy-Fermion
Hf0.834W0.166,2.79,others
Al1Gd0.0065La3,2.79,heavy-Fermion
La0.95Y0.05Ni1C2,2.79,others
Ba1Ag0.4Si1.6,2.79,others
Cu1Co1.98Ir0.02S4,2.79,others
Pb4Pt1,2.8,others
Ce1Bi3.1Pb0.9Te6,2.8,others
Cu0.65Zn0.35Ir2S4,2.8,others
La1.85Sr0.15Cu0.973Zn0.027O4,2.8,cuprate
Zr46.75Ti8.25Cu7.5Ni10Be27.5,2.8,others
C0.42Mo1,2.8,others
Ta0.25V0.75,2.8,others
Sr0.2Ta1S2,2.8,others
La3Co4Ge13,2.8,heavy-Fermion
Sr0.5La0.5F1Bi1S2,2.8,others
Cs0.5Nb1S2,2.8,others
Sr1Si1.7Ni0.3,2.8,others
Nb0.9Rh0.1,2.8,others
La1.79Sr0.21Cu0.94Fe0.06O4,2.8,cuprate
Sr0.5Ce0.5Bi1S2F1,2.8,others
Sn0.25Ta0.25V0.5,2.8,others
Pd2Y0.85Dy0.15Sn1,2.8,others
Pd0.985Ni0.015H0.79,2.8,others
Sr1Ir2As2,2.8,others
Zn1Mo6S8,2.8,others
Pd0.4Ho1Te3,2.8,others
V2Ta1Sn1,2.8,others
Na0.38Co1H2.6O3.3,2.8,others
Fe0.5Mn0.5U6,2.8,others
Mo0.0708Ti0.9292,2.8,others
Nb0.9Ru0.1,2.8,others
Be30Zr70,2.8,others
Mo0.93Pt0.17,2.8,others
In1.1Te1,2.8,others
Ca1Tl1.8Pb1.2,2.8,others
Sn1Ta1V2,2.8,others
Nb3Rh0.9Pt0.1,2.8,others
Cu1.5Co1.5S4,2.8,others
La1Pd0.6Ge0.14,2.8,heavy-Fermion
Ba8Si25Ge21,2.8,others
Ba1Al0.95Si1.05,2.8,others
Al1Sb1,2.8,others
Lu1.96Sc0.04Ir3Si5,2.8,heavy-Fermion
Mg1C1Ni2.7Ru0.3,2.8,others
Pb0.8Pt0.2,2.8,others
Ce1Bi1S2F0.4O0.6,2.81,others
H0.12Ta0.88,2.81,others
Sn0.8075Pb0.1425In0.05Te1,2.81,others
La1Pt0.8Ni0.2Si1,2.82,heavy-Fermion
Y0.8Ca0.2C2,2.82,others
Pd2Tm1Sn1,2.82,heavy-Fermion
Cu1Co1.98Rh0.02S4,2.82,others
Dy1Rh2.8Ir1.2B4,2.82,heavy-Fermion
Sr1Pd1.99Pt0.01Ge2,2.82,others
Sn0.736Pb0.184In0.08Te1,2.82,others
Mg0.8Zn0.2C1Ni3,2.82,others
Ir0.43Rh0.52Te2,2.82,others
Na0.32Co1H2.6O3.3,2.825,others
Al0.06V0.94,2.83,others
Pt2Y1,2.835,others
Cu0.05Ir1Te2,2.84,others
Pb0.184Sn0.736In0.08Te1,2.84,others
Pd23Zr77,2.84,others
Si2W3,2.84,others
Co0.032Ti0.968,2.84,others
Ti0.99Nb2.01Sb1,2.84,others
Si0.4W0.6,2.84,others
Lu4.5Tm0.5Ir4Si10,2.84,heavy-Fermion
Ba1Ni2Ge0.4P1.6,2.84,others
Bi1Zr3,2.84,others
Y2Br0.25Cl1.75C2,2.85,others
Sb0.7Sn0.3,2.85,others
Pb0.18Sn0.74In0.08Te1,2.85,others
Ta0.92W0.08,2.85,others
Sn1.15Ta1S3.15,2.85,others
Bi14Rh3,2.85,others
La0.85Th0.15Bi1S2O1,2.85,others
Co7Y9,2.85,others
Nb1S3Sn1,2.85,others
Nb1Os1,2.86,others
Rh37Zr63,2.86,others
U6Mn0.5Fe0.5,2.86,others
