,measured_Tc,materials_family
Bi1Pd2,4.2,others
Pd5Se2,2.3,others
Rh1Zr2,11.165,others
Cd1C1Ni3,3.1333330000000004,others
As2Te3,4.4,others
C0.75Mo1,14.7,others
La1Sn3,6.358286,heavy-Fermion
Mo0.4W0.6C1,11.3,others
As3La4,6.5,heavy-Fermion
P3Sn4,1.24,others
Zr0.61Rh0.285O0.105,11.8,others
Au0.15Sb0.85,8.1,others
Au0.098Pd0.02Ga2,1.51,others
Fe0.02Te0.8Se0.2,13.6,others
Nb1C0.5N0.47,17.4,others
V0.003Ga0.974Pb0.026,13.2,others
Y1Cu2.99Zn0.01O7,86.6,cuprate
Y1Pd2Sn1,4.993333,others
Mg0.4Ti0.6B2,37.6,others
Ir0.93Te2,4.7,others
Ga2Mo1,9.5,others
La1Ni1Ga2,1.97,heavy-Fermion
Au1Ga40Mo8,9.4,others
Y1Ba1.95La0.05Cu3O6.9,99.0,cuprate
Sr1Pt2.4Pd0.6P1,6.57,others
Hg1Sm0.5In0.5Pb2,6.9,others
Ba1Pt3Au1Ge12,7.0,others
Be1W1,4.1,others
Lu1Tc2,9.9,heavy-Fermion
Er1Pb2,7.4,heavy-Fermion
Na1Pb3,5.62,others
Sb2Tl7,5.2,others
Sc1Tc2,10.9,others
Au1Ta4.3,0.51,others
Au1Tl2,4.25,others
Au1Zn3,1.245,others
Au2Pb1,2.6575,others
Au30Pd3.3Te66.6,2.6,others
Au3Te5,1.62,others
Au5Sn1,0.9,others
Ca1Li2,13.0,others
C0.9S0.1,36.5,others
Mo0.3Si1,11.7,others
Mo0.39Ru0.61,6.9,others
B1,8.5,others
Mg0.927Al0.073B1,33.0,others
B105,1.5,others
Mg1.9Cu0.1B12,37.3,others
B12Li2.5,6.62,others
Y1Pd4B1C0.2,21.0,others
Mo1.8Rh0.2B1C1,9.1,others
B1I3,1.86,others
Nb2.5Sn1Ta0.5,17.6,others
Mo1Ni1P1,15.5,others
Be12Mg1Re1,10.1,others
Fe3Re2,6.55,others
Mo1Re3,9.89,others
B1Sr2Ca3Cu4O11,110.0,cuprate
Tl1.4Ba2Ca3Cu4O11.4,118.0,cuprate
B1Sr2Ca4Cu5O13,85.0,cuprate
Tl2Ba2Ca4Cu5O14,124.0,cuprate
W1.75Ru1.25B2,3.38,others
C0.148N0.638Ta1,12.01,others
Nb1Sn1Ta2,10.8,others
Nb0.5W0.5C1,12.5,others
Ta2Zr1,2.3,others
C1W2,3.835,others
Nb0.76Sn0.74,18.1,others
B2.6Nb1,10.9,others
B2Nb0.4,6.57,others
Mo1Ru1,10.0,others
Th1Pd3B3C1,21.5,heavy-Fermion
B3Re7,3.19,others
Ru7B3,3.05,others
B5Nb1.9Y0.1,9.3,others
B6Y6,7.5,others
B6Nd1,3.0,heavy-Fermion
Ba1Pb0.35Hg0.4Bi0.25O3,10.7,others
Mo4P3,2.75,others
Lu1.8Ba0.2Cu1O4,71.9,cuprate
Ca0.27Sr0.63Cu1O2,110.0,cuprate
La2Cu1O4.086,45.2,cuprate
Sr1.68Ba0.32Cu1O3.4,88.0,cuprate
Sr0.42K0.58Fe2As2,36.0,iron-based
Rh2Sr1,6.2,others
K0.21Ti1N1Br1,17.2,others
Li0.3Ti1.1S2,13.0,others
Ba0.64K0.34Fe2As2,39.0,iron-based
Sr1.4Ba0.6Cu1O3.4,98.0,cuprate
Ba0.5K0.5Fe2As2,38.0,iron-based
Sm1Fe1As1F0.6O0.6,55.0,iron-based
Ba0.5K0.5Fe2As2O1,36.0,iron-based
Tl1Ba1Ca1Cu2O5.5,114.0,cuprate
Ba0.5Na0.5Fe2As2,32.8,iron-based
Mg0.5Co0.5B2,31.5,others
Sr1Pt3P1,8.375,others
Ba0.8Rb0.2Ti2Sb2O1,6.19,others
Ba1,3.4375,others
Y1Ba1Sr1Cu3O6.9,92.0,cuprate
Yb0.9Ca0.1Ba1.4Sr0.6Cu4O8,85.0,cuprate
Ce1Fe1As1H0.6O0.6,45.8,iron-based
Eu1.6Ce0.4Sr2Ru1Cu2O10,32.0,cuprate
Sr2Ca2Cu3O5.5,109.0,cuprate
Bi2Sr2.65Ca0.35Cu2O8,93.6,cuprate
Yb1Ba2Cu3O6.9,92.8,cuprate
Y1Ba1.975La0.025Cu3O6.95,99.0,cuprate
Gd0.45Ca0.4Mo0.15Ba2Cu3O6.537,73.0,cuprate
Pb7Bi3,9.05,others
Sr1Cs1Fe4As4,36.8,iron-based
Sr2Ho1Ru0.9Cu0.1O6,30.0,others
Ba1Fe2As1.3P0.7,30.25,iron-based
Ba1Fe1.9Se3,11.0,iron-based
Ba1Fe2As3,35.4,iron-based
Ba1Ge3,4.0,others
Hg1Pb2.3,6.0,others
Zr1Ru4P2,11.0,others
La3Ir2Ge2,4.7,heavy-Fermion
Hg1Ba2Cu1O4.081,98.0,cuprate
Gd1Sm1Ni2,4.5,heavy-Fermion
Y1Ni2B2C1,23.0,others
Lu5Ir4Si9Ge1,6.38,heavy-Fermion
V75Si2.57Ga22.4,13.32,others
Ir0.25Mo0.75Nb2.25Pt0.75,6.5,others
La1Pd0.8Sb2,3.25,heavy-Fermion
Nb79.5Sn2.1Al6.1Ge12.3,9.4,others
Ca9.68Ho0.32Pt3Fe10As18,19.5,iron-based
Ca10Pt4Fe10As18,38.0,iron-based
La1Pt4Ge12,8.253333,heavy-Fermion
Ca1Rh2,6.4,others
Cu1.2Rh1.8S4,5.08,others
Fe2As2Sr4Mg0.4Ti1.6O6,28.0,iron-based
Ba1Ti2Sb0.8Bi1.2O1,4.02,others
Bi0.6Pb0.2S0.2Sr2Ca0.7Nd0.3Cu2O6.95,80.0,cuprate
Ba1Ti2Sb1.4Sn0.6O1,2.49,others
Ba24Si100,1.475,others
Pd0.5Bi2Te3,5.5,others
Bi3S3O3,5.1,others
Ba2Bi2.75Sb0.25,4.46,others
Ba2Ca1Cu2F1.4O4.6,106.0,cuprate
Ba2Ca1Cu2F1.6O4.4,108.0,cuprate
Ba2Ca3Cu4O10.35,116.0,cuprate
La0.5Th0.5Sn3,4.67,others
Ba2Sn3Sb6,3.9,others
Ba7Ca1Si46,7.65,others
Ba2Sr6Si46,4.1,others
Ba2Ti2Fe2As4O1,20.125,iron-based
Ba3Ir4Ge16,6.1,others
Sc5Ir4Si10,8.311428999999999,others
C60Rb2,29.0,others
Ba4C60,6.75,others
Ba4Ca4Si46,3.7,others
Ba4Sr4Si46,5.3,others
Ba4Ir8Ge28,3.2,others
Na2Cs1C60,11.328571,others
Ba4Na2Ge25,0.84,others
Ba4Sr2Nb10O30,0.98,others
Y2La0.15Ba3.85Cu6O13.99,93.2,cuprate
Ba5Sr1Nb10O30,0.96,others
Ba7.76Si46,8.5,others
Ba6.63Si46,6.0,others
Ba6C60,7.0,others
Ca2Nb1O4,8.9,others
Ba6Sr2Si46,7.2,others
Ba6Ge25,0.24,others
Ba6Nb10O30,1.625,others
Zr33.3V56.7Nb9.9,5.34,others
Ba8Ge46,10.0,others
Ba8Ga16Ge30,7.5,others
Ba8Ge42Co4,7.0,others
Ba8Si23Ge23,2.28,others
Ba8Si25Ge21,2.8,others
Ba8Si28Ge18,3.12,others
Ba8Si31Ge15,3.91,others
La1Pt4Ge15,4.98,heavy-Fermion
Ba8Si34Ge12,4.0,others
Ba8Si37Ge9,5.0,others
Ba8Si38Al8,3.0,others
Ba8Si39Al7,4.0,others
Ba8Si40Al6,5.6,others
Ba8Si40Ge6,6.0,others
Ba8Si40Ga6,3.3,others
Ba8Si41Al5,6.0,others
Ba8Si42Cu4,2.9,others
Ca2Al2.73Si4.27,6.4,others
Ba8Si43Ge3,7.1,others
Ba8Si44Al2,5.85,others
Be13Ga1,5.6,others
U1Be12.9896B0.0104,1.89,heavy-Fermion
Be17Nb2,1.47,others
Be21Ni5,0.72,others
Tc0.5W0.5,7.52,others
