,measured_Tc,materials_family
Er5Os4Si15,5.5,heavy-Fermion
Eu1Fe2Se2,40.0,iron-based
Eu1Ba2Cu3O7.1,94.9,cuprate
Pb1Mo6S7Se1,8.4,others
Li0.8Fe1.2H1Se1,34.0,iron-based
Eu1,1.375,others
Tl1Sr1.5Eu0.5Ca1Cu2O7,88.0,cuprate
Y1La1Ba4Cu6O13.95,72.2,cuprate
Eu1.55La0.3Ce0.15Cu1O4,10.0,cuprate
Fe2As2Ca4Sc2.01Ti0.99O7.5,31.0,iron-based
Tl0.5Pb0.5Sr2Eu1.8Ce0.2Cu2O9,40.0,cuprate
Nb0.6Ru0.4Sr2Eu1.5Ce0.5Cu2O10,37.3,cuprate
Ru0.8Sr2Y1Cu2.2O8.1,65.0,cuprate
Eu2Ba4Cu7O14.671,75.0,cuprate
Nd1.8Cu1O4,31.3,cuprate
Eu2.17Ce0.5Sr1.33Cu2.5Co0.5O9.08,34.9,cuprate
Hg0.5Fe0.5Sr2Y0.4Ca0.6Cu2O6.67,77.5,cuprate
Rh0.53Se0.47,6.0,others
Tl1Sr1.5Dy0.5Ca1Cu2O7,80.0,cuprate
La1Er1Ba2Ca2Cu6O14.122,79.0,cuprate
Tl1Sr1.5Yb0.5Ca1Cu2O7,84.0,cuprate
Ho1Ba1Sr1Cu3O6.94,79.0,cuprate
Tm1Ba1Sr1Cu3O6.94,70.0,cuprate
Fe1Te0.4Se0.4,14.4,others
Fe2As2Ca4Mg0.75Ti2.25O7.5,42.5,iron-based
Sr2V1Fe1As1O2.9,40.0,iron-based
Sc0.5Lu0.5Ni2B2C1,15.6,others
Fe2As2Ba4Sc3O7.5,11.0,iron-based
Hg0.5Pb0.5Ba2Ca4Cu5O12.5,110.0,cuprate
Fe2As2Ca4Sc2Ti3O13,36.0,iron-based
Fe2As2Ca5Mg0.8Ti3.2O9.8,39.0,iron-based
Fe2As2Ca5Al1.5Ti1.5O9,15.0,iron-based
La1.5Nd0.5Ca1Ba2Cu4.95Mo0.05O11.345,76.0,cuprate
Sr4V2Fe2As2O6,31.5,iron-based
Fe2P2Sr4Sc2O6,17.0,iron-based
Nb4Ni1Si1,7.7,others
Ga1P1,8.25,others
Ga1Ta4Se8,5.8,others
Ga1V1,16.45,others
Ga1V4.5,9.15,others
Ga3Zr5,3.85,others
Nb5Sb4,8.6,others
Pb3Zr5,4.6,others
Ga41Mo8,9.7,others
Ga4Mo1,8.593333,others
Ga5V2,3.57,others
Ga6Tb1,2.5,heavy-Fermion
Ga7Pt3,2.9,others
Nb5Pt3,3.73,others
Ga9Ir2,2.225,others
Pr1.96Ce0.04Cu1O4,23.6,cuprate
Sm1.86Ce0.14Cu1O4,22.7,cuprate
Gd1Ba2Cu3O6.98,94.2,cuprate
Sm1Ba2Cu3O6.944,94.0,cuprate
Gd1.2Mo6Se8,5.6,others
La2.3Gd0.6Ca1.2Ba2.9Cu7O16.543,80.0,cuprate
Lu1Re1B1C1,6.1,heavy-Fermion
Sm1.45Gd0.4Ce0.15Cu1O3.97,19.2,cuprate
Pr4Fe2As2Te0.88O4,25.05,iron-based
Gd4Fe2As2Te0.9O4,25.0,iron-based
Ge0.3Cu0.7Sr2Ca2.9Y0.1Cu4O11.1,89.0,cuprate
Ge0.4Cu0.6Sr2Ca1.9Y0.1Cu3O9.3,90.0,cuprate
Ge0.5Cu0.5Sr2Ca1.9Y0.1Cu3O9.3,81.5,cuprate
Ge1U7,1.4,heavy-Fermion
Ge2Rh5,2.12,others
La3Te4,4.0275,others
Ge3U5,0.99,heavy-Fermion
Ge5La1,7.0,heavy-Fermion
Ge7Ir3,0.87,others
Li1Fe2Se2,44.0,iron-based
Li1Fe3Se2O2,42.8,iron-based
Nb0.7Fe1.55Se1.01S0.99,23.5,iron-based
Hf1V2H0.5,7.33,others
H15Th4,8.025,heavy-Fermion
H4Si1,17.0,others
Hf0.52Ta0.48,6.61,others
La1Os2,7.575,heavy-Fermion
Zr1P1.6S0.4,4.36,others
Re6Zr1,7.05,others
Na0.22Co1H1.8O2.85,4.45,others
Hf4K1,3.27,others
Hf5Re24,4.3,others
Hg0.2Cr0.8Sr2Cu1O4,53.6,cuprate
Hg0.5Fe0.5Sr2Y0.5Ca0.5Cu2O6.68,66.5,cuprate
Hg1.4Tl0.6Ba2Y0.5Ca0.5Cu2O7.74,84.0,cuprate
Tl0.5Ba2Ca1.5Be1.5Cu4.5O9.887,115.0,cuprate
Hg1Mg3,0.16,others
Pb2Cu0.9La1.1Cu2O6.28,33.4,cuprate
Hg1Sn6,5.1,others
Hg1Tl1Ba2Ca4Cu5O14,90.0,cuprate
Hg2Mg1,4.0,others
Hg4K1,3.27,others
Hg8K1,3.42,others
Lu0.85Pr0.15Ba2Cu3O7,89.7,cuprate
Ho1Ba2Cu3O6.71,92.9,cuprate
Ho1.8Dy0.2Ni2B2C1,6.6,heavy-Fermion
La1Os2Ru2P12,7.0,heavy-Fermion
Ho4Os6Sn19,1.4,heavy-Fermion
Ho5Os4Si15,4.5,heavy-Fermion
I2,1.2,others
I4Sn1,1.96,others
In3.3Mo15Se19,4.0,others
In2Mo15Se19,1.5,others
Mo6Se6Br2,6.7,others
Mo6Se6.5Te1.5,6.23,others
In4Sb1Te3,1.4,others
Tl1Mo3Te3,5.84,others
Os0.55V0.45,5.04,others
Ir0.33V2.67,1.39,others
Ir1Lu2,0.84,heavy-Fermion
Nb3Sn2,16.9,others
Ir1Zn2,0.78,others
La7Rh3,2.59,heavy-Fermion
Ir3Lu7,0.78,heavy-Fermion
Ir3Te8,1.8,others
K0.05Mo1O1.63,7.25,others
Li0.5Hf1N1Cl1,26.0,others
Li0.5Ti1N1Cl1,16.5,others
Li1Hf0.45Zr0.55N1Br1,19.0,others
Y2Fe1C4,3.6,others
K2.75Ba0.25C60,15.0,others
Na2.9Ba4.5Si46,3.5,others
K2Cs1C60,24.0,others
K2In1Mo15Se19,1.3,others
Y1Pt2B2C1,10.5,others
Pt0.52W0.48,1.35,others
Lu1Ba1Sr1Cu3O6.94,54.0,cuprate
La1Pt1.5Au0.6B2.4C1.2,11.0,heavy-Fermion
Tl1Sr1.5Sm0.5Ca1Cu2O7,86.0,cuprate
Y2C2Br0.5I1.5,11.6,others
La0.5Th0.5Ni2B2C1,3.9,others
La1.7Gd1.3Ca1Ba2.2Sr0.8Cu6.44In0.56O16.6,30.0,cuprate
Pb0.5Cd0.5Sr1.5Ba0.5Ca0.5Y0.5Cu2O7,49.0,cuprate
La2.5Y0.5Ca1Ba3Cu7Fe7O16.574,80.0,cuprate
La13Ga8Sb21,2.4,heavy-Fermion
La1Bi1S1Se1F0.5O0.5,3.78,others
Li0.84H1Fe1.14Se1O1,42.0,iron-based
La1Bi1Se2F0.5O0.5,3.2960000000000003,others
Th1In0.75Sn2.25,3.36,heavy-Fermion
La1Ir2Zn20,0.59,heavy-Fermion
La1Os1Ru3P12,7.0,heavy-Fermion
La1Ru4As12,10.3,heavy-Fermion
V75Ge12.5Sb12.49,4.71,others
Pt2Y1,2.835,others
La1Pt4Ge14,5.4,heavy-Fermion
La1Si10,6.7,heavy-Fermion
La2.1Yb0.2Ba2.1Ca0.4Cu5O11.802,47.0,cuprate
Pr1.48Gd0.37Ce0.15Cu1O4,14.5,cuprate
La3S4,6.725714,others
La2.5Gd0.5Ca1Ba3Cu7O16.359,80.0,cuprate
La2.5Y0.5Ca1Ba3Cu6.44Fe0.56O16.617,58.0,cuprate
La3.1Y0.2Ca0.4Ba3.3Cu7O16.529,55.0,cuprate
La3Se4,8.326,others
La3Ni2B2N3,13.0325,heavy-Fermion
Mo6S6Br2,13.4,others
La2Sn5,5.4,heavy-Fermion
La3.1Gd0.2Ca0.4Ba3.3Cu7O16.473,48.0,cuprate
La3Ca0.5Cd0.5Ba3Cu7O16.375,59.0,cuprate
La3Co2Ru2Sn13,4.0,heavy-Fermion
La3Co4Sn12.35In0.65,5.1,heavy-Fermion
La3Ni4Si4,0.48,heavy-Fermion
La3Ni4P4O2,2.2,others
Y1Pd4.2B3C0.3,24.0,others
La3Rh4Pb13,2.2,heavy-Fermion
La3Ru1Pd3Ge13,4.8,heavy-Fermion
Y3Os8B6,5.8,others
La3Ru8B6,3.15,heavy-Fermion
La3Sb3Y1,0.13,heavy-Fermion
La3Sc4,8.6,heavy-Fermion
Sb3Zr5,1.5,others
La5.8Y0.4Ca0.8Ba3.1Cu7O16.548,74.0,cuprate
La6Zn1Sb15,3.74,heavy-Fermion
La7Ni3,2.1,heavy-Fermion
La9Br5B3C6,6.0,heavy-Fermion
Li0.33V2O5,8.5,others
Li0.48C1.6H3.2O0.4Hf1N1Cl1,25.5,others
Y1Ba2Cu3Li0.5O7,83.79,cuprate
Li0.62Cs1Ca2Nb3O10,4.71,others
N4H12Na2Cs1C60,29.6,others
Li0.62Rb1Ca2Nb3O10,2.705,others
Li1Ti1.91Cu0.09O4,14.4,others
Li0.9Mg0.1,11.0,others
Li0.9Mo6O17,2.891667,others
Li1Hf1N1Br1,24.1,others
Li1Hf0.5Zr0.5N1Cl1,21.0,others
Li1Hf1N1I1,22.2,others
Li2.6Ti1.7O4,11.4,others
Li2.6Ti2.7O4,10.9,others
Li2Na1N1C60,12.0,others
Y1Pd2B2C1,22.6,others
Li2Cs1C60,12.0,others
Sc5Rh4Si10,8.405,others
Lu0.5Th0.5Os3B2,4.14,others
Lu2.5Sc2.5Ir4Si10,7.915,heavy-Fermion
Lu1Sc4Ir4Si10,7.655,heavy-Fermion
Lu2Ir3Si4.5Ge0.5,5.2,heavy-Fermion
Lu2Ir3Si4.25Ge0.75,4.6,heavy-Fermion
Lu3.5Sc1.5Ir4Si10,7.665,heavy-Fermion
Lu3Os4Ge13,3.6,heavy-Fermion
Lu5Ir4Si8Ge2,6.6,heavy-Fermion
Sc0.9Y0.1Ni2B2C1,15.1,others
Lu4.75Sc0.25Ir4Si10,6.06,heavy-Fermion
Lu4Co6Sn19,1.5,heavy-Fermion
Lu4Ir6Sn19,3.2,heavy-Fermion
Y5Os4Ge10,8.946667,others
Lu5Ir4Si6Ge4,5.1,heavy-Fermion
Nb76Sn2.4Al19.2Ge2.4,16.0,others
Mg9.3Ir19B16.7,5.8,others
Mg10.5Ir19B17.1,4.8,others
Mg12Ir19B16,4.3,others
Mg10Ir19B16,4.0875,others
Mg1B1.4Be0.6,8.3,others
Mo6Pb1S7,14.0,others
Mg1Pt0.5Au0.5Si1,2.9,others
Mg2Zn11,0.88,others
Mg4Al1Si3,5.2,others
Mg4Ni6B2,4.0,others
Mg7Zn3,0.28,others
Mn0.67Ni0.33U6,2.7,heavy-Fermion
Mo0.25Tc0.75,15.8,others
Mo0.15Pa0.85,3.08,others
Mo15Se19,4.3,others
Mo1Re4,7.85,others
Mo1Sr2Eu1.5Ce1Cu2O10,23.0,cuprate
Sm1.5Ce0.5Sr2Cu2Nb1O10,25.0,cuprate
Mo1Sr2Y0.8Ca0.2Cu2O8,26.0,cuprate
Mo3Sb7,2.97,others
Mo6Se7.7Te0.3,6.66,others
Tl0.45Bi0.46Mo6S7.5,6.41,others
Mo6Se5Br3,7.1,others
Mo6Se5Cl3,5.7,others
Mo6Se5I3,4.2,others
Mo6Se6.5Cl1.5,6.49,others
Mo6Se7Cl1,6.52,others
Mo6Te5I3,2.4,others
Mo7Re13B1,8.3,others
Mo8P5,5.8,others
S1,13.0,others
N0.62Pt0.38,4.21,others
N0.74H2.22Na1Rb2C60,17.0,others
N0.72H2.16Na1K3C60,12.0,others
N0.84H2.52Na1K2C60,13.0,others
N12.8Nb1,16.1,others
N5Nb4,8.5,others
Na0.346Co1H2.6O3.3,4.81,others
Na0.4H3.6Pb1.14S5.14Ta2O1.8,3.7,others
Sr1.4Ba0.6Cu1F2O2,64.0,cuprate
Na0.65H5Sn1.16S5.16Ta2O2.5,4.0,others
Pb1Mo6S5Se3,4.3,others
Na0.6Sn1Ta2S5,4.0,others
Na3N1C60,14.7,others
Na2Rb0.5Cs0.5C60,8.2,others
Na4H4C60,15.0,others
Nb0.6Ru0.6Sr2Eu1.5Ce0.5Cu2O10,41.4,cuprate
O1Sn1,3.81,others
Nb1Tc3,10.5,others
Nb2Pd1S3Se2,1.17,others
Nb3.2Al0.24Ge0.4,10.2,others
Nb50.35Zr44.45Mo5.2,9.9,others
Nb6Sn5,2.435,others
Nb76.3Sn7.1Al14.3Ge2.3,13.9,others
Nb77.5Sn5.6Al11.3Ge5.6,15.2,others
Nb78.1Sn7.3Al7.3Ge7.3,12.5,others
Nb78.5Sn2.2Al9.6Ge9.6,12.7,others
Nb79.2Sn5.2Al5.2Ge10.4,10.9,others
Nb80.7Sn1.9Al1.9Ge15.5,7.8,others
Nb80Ga19.4Fe0.06,16.2,others
Nb80Ga19.7Fe0.03,17.3,others
Nd2Ba4Cu7O14.525,66.0,cuprate
Nd1.5Ce0.5Sr2Nb1Cu2O10,28.0,cuprate
Nd1.5Ce0.5Sr2Ta1Cu2O10,25.0,cuprate
Nd1.72Ta3.28S2,4.3,others
Ni0.5V0.16Zr0.34,0.43,others
Ni1Sm1,1.6,heavy-Fermion
Ni2.5Cu1.5Zr8,1.09,others
Os1W3,3.0,others
O2,0.65,others
Os10,0.478,others
Os3Th7,1.51,heavy-Fermion
P3Pd7,0.85,others
P4W14O50,0.39,others
Yb0.8Fe2Se2,42.0,iron-based
Pb0.5Cd0.5Sr1.6Ba0.4Ca0.5Y0.5Cu2O7,36.0,cuprate
Pb0.5Cd0.5Sr2Tb0.5Ca0.5Cu2O7,19.0,cuprate
Tl1Sr1.5Tb0.5Ca1Cu2O7,80.0,cuprate
Pb0.5Yb0.5Mo6Se8,8.7,others
Pb1Mo6S1Se7,7.13,others
Pb1Mo6S2Se6,4.92,others
Pb1Te1Yb1S1,5.93,others
Pb2Sr2Y0.61Ca0.39Cu3O8,77.0,cuprate
Pb3.9Ag1.1Bi6Se14,1.7,others
Pb4Pt1,2.8,others
Pd0.4Ho1Te3,2.8,others
Pd17Se15,1.1,others
Tm1Rh4B4,8.888,heavy-Fermion
Pd34Se11,2.66,others
Pd4Se1,0.21,others
Pd6Se1,0.66,others
Pd9Se2,0.67,others
Pr1Os3.4Ru0.6Sb12,1.53,heavy-Fermion
Y4Dy1Os4Ge10,6.9,heavy-Fermion
Pr1Pt4Ge11Sb1,2.68,heavy-Fermion
Pr1Pt4Ge8Sb4,1.4,heavy-Fermion
Pr1Pt4Ge9Sb3,1.4,heavy-Fermion
Y1V2Al20,0.69,others
Pr2Ba4Cu7O14.06,30.5,cuprate
Pt1V3.5,1.26,others
Pt2Y8,0.9,others
Pt3Y7,0.82,others
Pt5Th1,3.13,heavy-Fermion
Pu1Co1Ga5,18.5,heavy-Fermion
Re1Ti1O5,5.71,others
Re24Sc5,2.2,others
Re24Ti6,6.6,others
Rh0.36Se0.64,6.0,others
Rh16Ir1S15,4.08,others
Rh15Ir2S15,3.5,others
Rh17S15,5.52,others
S8V6,0.76,others
Sc2Fe3Si5,4.57,others
Sc4.5Dy0.5Ir4Si10,6.95,others
Sc4Rh6Sn19,3.2,others
Sc4Rh6Ge19,1.9,others
Si10.9V3C0.1,16.4,others
Si21.75V69.43,16.2,others
Si22.5V75,16.1,others
Si23.8V74.65,16.5,others
Si3Sr2,0.55,others
Si3W5,2.7,others
Sm4Fe2As2Te0.72F1.2O2.8,40.0,iron-based
Sm4Fe2As2Te0.92O4,25.0,iron-based
Y5Rh6Sn18,3.14,others
Sn1Zr4,0.92,others
Sn99.2In0.4Sb0.4,3.6689999999999996,others
Sr1,3.5375,others
Sr1Sn3Sb4,3.9,others
Sr2Ca2Cu3F3.2O6.2,111.0,cuprate
Sr2Ca3Cu4F3.8O8,95.0,cuprate
Sr2Mg0.3Ti0.7Fe1As1O3,36.7,iron-based
Sr2Mg0.5Ti0.5Fe0.95Co0.05As1O3,26.2,iron-based
Sr2Nd0.5Ca0.5Cu2F1O5,70.9,cuprate
Sr3Ir4Sn13,5.016667,others
Ta4Pd3Te16,4.38,others
Ta5Ge1B2,3.8,others
Tb1Ni0.74Bi1.9,4.2,heavy-Fermion
Tb4Os6Sn19,1.4,heavy-Fermion
Tb5Os4Si15,3.2,heavy-Fermion
Tc6Zr1,9.7,others
Te3Tl5,2.144,others
Th3Os4Ge13,5.6,heavy-Fermion
Th3Ni5C5,5.0,others
Th7Fe0.72Co2.28,2.27,heavy-Fermion
Tl0.25Li0.25Ba2Ca2Cu2.5Si1O7.853,113.0,cuprate
Tl0.5Ba2Ca0.3Be1.7Cu3.5O7.685,115.0,cuprate
Tl0.5Ba2Ca1.3Be0.7Cu3.5O7.886,95.0,cuprate
Tl0.5Pb0.5Sr4Cu2C0.5N0.5O7,70.0,cuprate
Tl0.76Ba1Cu1O4.5,86.0,cuprate
Tl1.75Cd0.25Ba2Cu1O6,88.0,cuprate
Tl1Sr1.5Lu0.5Ca1Cu2O7,82.0,cuprate
Tl1Sr2Ba2Cu2C2.4N0.6O7,49.0,cuprate
Tl1Sr2Ba2Cu2C2.7N0.3O7,49.0,cuprate
Tm1.4Y3.6Rh6Sn18,3.14,heavy-Fermion
Tm2Ba4Cu7O14.732,88.0,cuprate
Tm1.83Ca0.17Cu1O3.99,30.0,cuprate
Y4Os4Si13,9.8,others
Tm4Os4Si13,2.6,heavy-Fermion
Tm4Y1Rh6Sn18,2.61,heavy-Fermion
Tm5Rh6Sn18,2.22,heavy-Fermion
Tm5Rh4.8Co1.2Sn18,1.97,heavy-Fermion
U1Pd2Al2.4Ga0.6,0.33,heavy-Fermion
V66.6Zr33.3,9.64,others
W4.8Ta0.2Si1B2,6.5,others
W7Re13C1,7.3,others
Y1.5Th0.5C3,16.7,others
Zn1Tl0.78Ba1Cu1O4.5,81.0,cuprate
Y1Ba2Cu2.4Ni0.6O6.94,66.0,cuprate
Y1Ba2Cu3Br0.9O6.2,92.0,cuprate
Y1Ni1.3Pd0.7B2C1,12.1,others
Y1Sr2Nb0.9Cu2.1O7.9,27.0,cuprate
Y3.25Dy1.75Os4Ge10,5.2,heavy-Fermion
Y2.5Dy2.5Os4Ge10,3.8,heavy-Fermion
Y2Br0.5Cl1.5C2,3.25,others
Y2I1.6Br0.4C2,11.2,others
Y2Pd1Ge2.5Si0.5,3.3,others
Y4Ru6Sn19,1.3,others
Y6Nb4Al43,0.86,others
Zr0.12N1Cl1,12.7,others
Zr28.4V56.8Nb14.8,8.56,others
Zr33.3V45.5Nb21.12,4.36,others
Zr33.3V59.25Nb7.35,6.3,others
Zr33.3V61.8Nb4.8,6.13,others
